Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
"Trường hợp khách hàng được đánh giá có tiềm năng tham gia chương trình DR qua bước đánh giá sơ bộ?","Công ty Điện lực phối hợp với khách hàng để thực hiện khảo sát, đánh giá thực tế tại địa điểm sử dụng điện của khách hàng.","Công ty Điện lực và khách hàng thống nhất ký kết Thỏa thuận tham gia chương trình DR.","Công ty Điện lực thông báo kết quả tới khách hàng và cập nhật khách hàng vào danh sách khách hàng tham gia chương trình DR của đơn vị","Công ty Điện lực và khách hàng thống nhất ký kết Hợp đồng tham gia chương trình DR.","A"
"Lựa chọn khách hàng đề nghị tham gia sự kiện DR?","Toàn bộ các khách hàng trong danh sách khách hàng tham gia chương trình DR của đơn vị","Khách hàng có trong danh sách tham gia chương trình DR của đơn vị; khách hàng chưa tham gia sự kiện DR gần nhất trước đó","Khách hàng có trong danh sách tham gia chương trình DR của đơn vị; khách hàng đã tham gia sự kiện DR gần nhất trước đó.","Khách hàng có trong danh sách tham gia chương trình DR của đơn vị; khách hàng chưa tham gia sự kiện DR trước đó hoặc có tham gia nhưng không tiết giảm đúng theo thỏa thuận.","D"
"Đường phụ tải cơ sở?","Công ty Điện lực tính toán và gửi cho Khách hàng xác nhận tham gia sự kiện DR.","Khách hàng tự tính toán và gửi cho Công ty Điện lực để thống nhất trước sự kiện DR.","Công ty Điện lực và Khách hàng cùng tính toán và thống nhất trước sự kiện DR.","Công ty Điện lực và Khách hàng cùng tính toán và thống nhất sau khi sự kiện DR kết thúc.","A"
"Kết quả thực hiện sự kiện DR?","Công ty Điện lực tính toán và gửi thông báo cho Khách hàng tham gia sự kiện DR sau khi sự kiện kết thúc.","Khách hàng tự tính toán và gửi cho Công ty Điện lực sau khi kết thúc sự kiện DR.","Công ty Điện lực và Khách hàng cùng tính toán và thống nhất sau khi kết thúc sự kiện DR.","Công ty Điện lực tính toán, không phải thông báo cho Khách hàng tham gia sự kiện DR.","A"
"Đối tượng tham gia chương trình dịch chuyển phụ tải điện","Các khách hàng sản xuất lớn (có sản lượng trên 1 triệu kwh/ năm),","Các khách hàng sản xuất có sản lượng dưới 1 triệu kwh/ năm có tiềm năng.","Toàn bộ KH sản xuất, KDDV","Các khách hàng sản xuất lớn (có sản lượng trên 1 triệu kwh/ năm), Các khách hàng sản xuất có sản lượng dưới 1 triệu kwh/ năm có tiềm năng.","D"
"Thời gian cập nhật biểu đồ phụ tải điện của khách hàng lên hệ thống DRMS","3 ngày / 1 lần","Hàng ngày","Hàng tuần","5 ngày / 1 lần","B"
"Khi khách hàng sử dụng điện vượt quá công suất cam kết, Công ty thực hiện","Yêu cầu khách hàng cắt giảm ngay phụ tải","Chờ cuối tuần tổng hợp số liệu gửi khách hàng","Cắt điện vào MBA để giảm công suất đỉnh của hệ thống","Kịp thời thông báo cho khách hàng để Khách hàng điều chỉnh sản xuất .","D"
"Tổng Công ty thông báo kế hoạch sự kiện DR tới các CTĐL tối thiểu trước bao nhiêu ngày?","1 ngày","2 ngày","3 ngày","4 ngày","C"
"Trước thời điểm sự kiện DR bắt đầu, Công ty Điện lực phải thực hiện","Thông báo bắt đầu sự kiện tới khách hàng","Kiểm tra kết nối thu thập dữ liệu công tơ đo đếm","Kiểm tra trực tiếp tại cơ sở của khách hàng","Theo dõi phụ tải của khách hàng trên hệ thống thu thập dữ liệu từ xa","A"
"Thời hạn các đơn vị gửi báo cáo về Ban Kinh doanh – Tổng Công ty Điện lực Thành phố Hà Nội hàng tháng?","Trước ngày 10 hàng tháng.","Trước ngày 15 hàng tháng.","Trước ngày 20 hàng tháng.","Trước ngày 25 hàng tháng.","C"
"Đối với nhóm khách hàng lớn (sử dụng điện ≥ 1 triệu kWh/1 năm) áp dụng phương pháp dự báo nào sau đây?","Phương pháp trí tuệ nhân tạo.","Phương pháp chuỗi thời gian.","Phương pháp dự báo thống kê.","Phương pháp dự báo trực tiếp.","D"
"Khi gặp lỗi phần mềm CMIS trong quá trình thực hiện công tác dự báo phụ tải, xử lý theo phương án nào?","Báo cáo Ban Kinh doanh – Tổng Công ty Điện lực Thành phố Hà Nội","Báo cáo Công ty Công nghệ thông tin Điện lực Hà Nội","Báo cáo Công ty Viễn thông Điện lực và Công nghệ thông tin","Gửi yêu cầu lên trang web hỗ trợ vận hành viễn thông và công nghệ thông tin để được hỗ trợ","D"
"Các phương pháp dự báo hiện đang áp dụng trong công tác Dự báo phụ tải điện?","Phương pháp dự báo trực tiếp.","Phương pháp dự báo thống kê.","Phương pháp trung bình trượt và phương pháp san bằng mũ.","Phương pháp dự báo trực tiếp và phương pháp dự báo thống kê.","D"
"Phương pháp dự báo nào áp dụng cho nhóm khách hàng trên 1 triệu kWh?","Phương pháp dự báo trực tiếp.","Phương pháp dự báo thống kê.","Phương pháp trung bình trượt.","Phương pháp san bằng mũ.","A"
"Đơn vị có được thực hiện dự báo theo phương pháp khác với phương pháp EVN hướng dẫn hay không?","Phải thực hiện theo phương pháp EVN hướng dẫn.","Đơn vị có thể thực hiện theo phương pháp khác.","Đơn vị có thể thực hiện theo phương pháp khác tuy nhiên cần thực hiện thêm phương pháp dự báo theo hướng dẫn của EVN để đối chiếu kết quả.","Đơn vị có thể thực hiện nhiều phương pháp dự báo khác nhau, không cần thực hiện theo hướng dẫn của EVN","C"
"02 nhóm khách hàng thực hiện dự báo phụ tải là những nhóm khách hàng nào?","Nhóm khách hàng trên 1 triệu và nhóm khách hàng lớn.","Nhóm khách hàng dưới 1 triệu và nhóm khách hàng còn lại.","Nhóm khách hàng trọng điểm và nhóm khách hàng lớn.","Nhóm khách hàng lớn (có sản lượng điện tiêu thụ ≥ 1 triệu kWh/1 năm) và toàn bộ khách hàng còn lại của Công ty Điện lực","D"
"Các Công ty Điện lực phải thực hiện rà soát và xử lý số liệu thực hiện các khách hàng sai lệch trên mục dự báo phụ tải với hóa đơn phát sinh trên hệ thống CMIS vào thời điểm nào?","Từ ngày 01 đến ngày 05 hàng tháng","Từ ngày 02 đến ngày 10 hàng tháng","Từ ngày 02 đến ngày 04 hàng tháng","Từ ngày 04 đến ngày 20 hàng tháng","C"
"Quy trình dự báo phụ tải điện của Tổng Công ty Điện lực Thành phố Hà Nội áp dụng cho các đối tượng nào?","Tất cả khách hàng của các Công ty Điện lực trực thuộc Tổng Công ty Điện lực Thành phố Hà Nội","Tất cả khách hàng của Tổng Công ty Điện lực Miền Bắc","Tất cả khách hàng của các Công ty Điện lực trực thuộc và khách hàng 110kV thuộc quản lý của Tổng Công ty Điện lực Thành phố Hà Nội","Tất cả khách hàng của Tập đoàn Điện lực Việt Nam","C"
"Sai số đối với công tác dự báo phụ tải điện cho nhóm khách hàng trên 1 triệu kWh và sai số dự báo toàn bộ sản lượng của Công ty Điện lực?","5% cho cả 02 nhóm","1,5% cho nhóm khách hàng trên 1 triệu kWh và 3% cho toàn bộ sản lượng của Công ty Điện lực.","2% cho nhóm khách hàng trên 1 triệu kWh và 3% cho toàn bộ sản lượng của Công ty Điện lực.","1,5% cho nhóm khách hàng trên 1 triệu kWh và 1,5% cho toàn bộ sản lượng của Công ty Điện lực.","D"
"Các Công ty Điện lực phải thực hiện chức năng tổng hợp mục dự báo phụ tải trên hệ thống CMIS vào thời điểm nào?","Ngày 10 hàng tháng.","Sau khi hoàn thiện phát hành hóa đơn và chốt tổng hợp sản lượng điện thương phẩm tháng báo cáo","Sau khi hoàn thiện phát hành hóa đơn","Sau khi chốt tổng hợp sản lượng điện thương phẩm tháng báo cáo","B"
"Công thức tính sai số 02 nhóm khách hàng công tác dự báo phụ tải điện?","(Thực hiện – dự báo) / thực hiện x 100%.","(Thực hiện / dự báo) x 100%.","(Thực hiện – dự báo) / dự báo x 100%.","(Dự báo – thực hiện) / dự báo x 100%.","C"
"Đối với nhóm khách hàng lớn, CTĐL thực hiện thông báo về kết quả dự báo tới khách hàng để phối hợp cung cấp nhu cầu phụ tải dự kiến chính xác với các khách hàng có tỷ lệ sai số như nào?","Sai số vượt 2,5%","Sai số vượt 2,0%","Sai số vượt 1,5%","Sai số vượt 1,0%","C"
"Mục đích quan trọng nhất của việc ghi chỉ số công tơ là gì?","Là cơ sở để lập hóa đơn tiền điện và tổng hợp sản lượng điện thương phẩm","Chỉ để kiểm tra công tơ hoạt động","Chỉ để phục vụ thống kê nội bộ","Chỉ để phục vụ kiểm tra khách hàng","A"
"Tại EVNHANOI, chỉ số công tơ được thu thập tự động thông qua hệ thống nào?","OMS","HHU","EVNHES","ERP","C"
"Dữ liệu ghi chỉ số công tơ sau khi thu thập phải được đồng bộ về hệ thống nào để tính hóa đơn?","GIS","SCADA","PMIS","CMIS","D"
"Đối với công tơ thu thập qua DCU, hệ thống phải đảm bảo tần suất thu thập dữ liệu tối thiểu là:","1 giờ/lần","1 phút/lần","1 ngày/lần","1 tuần/lần","C"
"Đối với công tơ truyền dữ liệu qua modem 3G/4G/5G, hệ thống phải đảm bảo tần suất thu thập dữ liệu tối thiểu là:","5 phút/lần","30 phút/lần","1 giờ/lần","1 ngày/lần","B"
"Khách hàng sinh hoạt thông thường được ghi chỉ số công tơ theo chu kỳ:","1 lần/tháng vào ngày cuối tháng","2 lần/tháng","3 lần/tháng","1 lần/2 tháng","A"
"Trong quá trình ghi chỉ số trực tiếp, thiết bị hỗ trợ phổ biến hiện nay là:","Máy POS","Máy PlayStation","Máy HHU","Máy XBOX","C"
"Thiết bị ghi chỉ số phải được cài đặt cảnh báo sản lượng bất thường khi:","Tăng hoặc giảm ≥ 50% so với kỳ trước","Tăng hoặc giảm ≥ 30% so với kỳ trước","Tăng ≥ 10%","Giảm ≥ 5%","B"
"Một trong các dấu hiệu bất thường cần kiểm tra khi ghi chỉ số là:","Công tơ chạy nhanh","Chỉ số cuối kỳ lớn hơn chỉ số đầu kỳ","Chỉ số cuối kỳ nhỏ hơn chỉ số đầu kỳ","Công tơ có tem kiểm định","C"
"Sau khi ghi chỉ số xong, dữ liệu phải được đồng bộ về CMIS trong thời gian:","Sau 3 ngày","Sau 7 ngày","Cuối tháng","Trong ngày ghi chỉ số","D"
"Ảnh chụp chỉ số công tơ được sử dụng để:","Kiểm tra đối soát trước khi phát hành hóa đơn và giải quyết kiến nghị khách hàng","Quảng cáo hình ảnh ngành điện minh bạch, chuyên nghiệp","Lưu trữ nội bộ","Đào tạo nhân viên","A"
"Trước khi phát hành hóa đơn, đơn vị phải thực hiện:","Đối soát 100% ảnh chụp chỉ số công tơ","Đối soát ngẫu nhiên","Không cần đối soát","Chỉ đối soát công tơ có sản lượng lớn","A"
"Nhân viên ghi chỉ số không được phép thực hiện hành vi nào sau đây?","Can thiệp chỉnh sửa dữ liệu chỉ số công tơ","Kiểm tra tình trạng công tơ","Chụp ảnh chỉ số","Báo cáo bất thường","A"
"Đối với công tơ có chức năng đo biểu đồ phụ tải, chu kỳ tích phân thường là:","5 phút","15 phút","30 phút","60 phút","C"
"Trong quá trình ghi chỉ số, nếu phát hiện niêm chì công tơ bị mất, người ghi chỉ số phải:","Bỏ qua vì không thuộc trách nhiệm được giao","Báo cáo bộ phận chức năng để kiểm tra hệ thống đo đếm","Chủ động thay thế niêm chì","Báo cáo lãnh đạo và không thực hiện ghi chỉ số công tơ đó","B"
"Giá bán điện hiện hành do đơn vị nào ban hành?","Tổng Công ty Điện lực Thành phố Hà Nội","Tập đoàn Điện lực Việt Nam","Bộ Tài chính","Bộ Công Thương","D"
"Trường hợp khách hàng giao kết hợp đồng sử dụng điện ngoài mục đích sinh hoạt sau 1 công tơ (khi không tách được công tơ riêng cho từng mục đích) thì thực hiện giá bán điện cho khách hàng như thế nào?","Lấy bình quân của các mức giá đối với từng mục đích sử dụng điện để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","Lấy giá điện giờ bình thường của mục đích sử dụng điện có mức giá cao nhất để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","Căn cứ theo tình hình sử dụng điện thực tế để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","Lấy giá điện giờ bình thường của mục đích sử dụng điện nhiều nhất để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","C"
"Đối tượng nào áp dụng giá bán điện theo thời gian sử dụng điện trong ngày?","Bên mua điện sử dụng cho mục đích sản xuất, kinh doanh, dịch vụ được cấp điện qua máy biến áp chuyên dùng từ 25 kVA trở lên hoặc có sản lượng điện sử dụng trung bình ba tháng liên tục từ 2.000 kWh/tháng trở lên.","- Bên mua điện sử dụng cho mục đích sản xuất, kinh doanh được cấp điện qua máy biến áp chuyên dùng từ 25 kVA trở lên hoặc có sản lượng điện sử dụng trung bình ba tháng liên tục từ 2.000 kWh/tháng trở lên; - Đơn vị bán lẻ điện tại khu công nghiệp, cụm công nghiệp; - Đơn vị mua điện để bán lẻ điện ngoài mục đích sinh hoạt tại tổ hợp thương mại - dịch vụ - sinh hoạt.","Tất cả các khách hàng mua điện","Bên mua điện sử dụng cho mục đích bệnh viện, trường học","B"
"Trường hợp có thay đổi mục đích sử dụng điện làm thay đổi giá áp dụng, bên mua điện và bên bán điện phải thực hiện công việc gì?","Bên bán điện chủ động kiểm tra để áp giá điện cho phù hợp","Bên mua điện phải thông báo cho bên bán điện trước 15 ngày tính từ ngày dự định thay đổi mục đích sử dụng điện để thỏa thuận điều chỉnh việc áp dụng giá trong hợp đồng theo đúng mục đích sử dụng điện. Bên bán điện phải kiểm tra và kịp thời áp dụng giá bán điện theo đúng đối tượng và mục đích sử dụng điện theo quy định.","Bên mua điện phải thông báo cho bên bán điện trước 07 ngày.","Bên bán điện phải kiểm tra và kịp thời áp dụng giá bán điện theo đúng đối tượng quy định.","B"
"Khách hàng giao kết hợp đồng sử dụng điện cho mục đích sinh hoạt sau một công tơ nhưng có sử dụng một phần cho các mục đích ngoài sinh hoạt thì áp dụng giá bán điện như thế nào?","100% giá sinh hoạt bậc thang cho toàn bộ sản lượng điện năng đo đếm được tại công tơ đó","100% giá sản xuất","50% giá sản xuất, 50% giá sinh hoạt bậc thang","Căn cứ theo tình hình sử dụng điện thực tế để thỏa thuận tỷ lệ điện sử dụng cho mỗi loại mục đích","A"
"Khách hàng giao kết hợp đồng sử dụng điện ngoài mục đích sinh hoạt sau một công tơ có mục đích sử dụng thực tế là sinh hoạt và một phần cho mục đích sản xuất thì áp dụng giá bán điện như thế nào?","100% giá sinh hoạt bậc thang","100% giá kinh doanh","100% giá sản xuất","Căn cứ theo tình hình sử dụng điện thực tế để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","D"
"Khách hàng giao kết hợp đồng mua bán điện cho mục đích sinh hoạt chung, sinh hoạt cộng đồng cho cư dân tại các khu chung cư cao tầng, khu đô thị (Bơm nước phục vụ sinh hoạt tại khu tập thể, cụm dân cư) sau một công tơ thì áp dụng giá bán điện như thế nào?","Giá bán lẻ điện cho kinh doanh","Giá bán lẻ điện cho khối hành chính, sự nghiệp","Giá bán lẻ điện cho sinh hoạt","Giá bán lẻ điện cho sản xuất","B"
"Khách hàng giao kết hợp đồng sử dụng điện cho mục đích đèn tín hiệu giao thông (cho trạm gác chắn đường sắt) thì áp dụng giá bán điện như thế nào?","100% giá sản xuất","100% giá HCSN","Căn cứ theo tình hình sử dụng điện thực tế để thỏa thuận tỷ lệ điện năng sử dụng cho mục đích Sản xuất và HCSN","100% giá kinh doanh","B"
"Khách hàng giao kết hợp đồng mua bán điện cho mục đích sang chiết khí hóa lỏng từ bồn chứa lớn sang các bình ga nhỏ sử dụng cho mục đích dân dụng, kho xăng, dầu của doanh nghiệp hoạt động trong lĩnh vực dầu khí phục vụ mục đích lưu trữ xăng dầu tập chung sau một công tơ thì áp dụng giá bán điện như thế nào?","Giá bán lẻ điện cho kinh doanh","Giá bán lẻ điện cho khối hành chính, sự nghiệp","Giá bán lẻ điện cho tỷ lệ","Giá bán lẻ điện cho sản xuất","D"
"Khách hàng giao kết hợp đồng mua bán điện cho mục đích hệ thống làm nóng nước để cung cấp phục vụ sinh hoạt của cư dân tại các căn hộ chung cư sau một công tơ thì áp dụng giá bán điện như thế nào?","Giá bán lẻ điện cho kinh doanh","Giá bán lẻ điện cho khối hành chính, sự nghiệp","Giá bán lẻ điện cho tỷ lệ","Giá bán lẻ điện cho sản xuất","D"
"Khách hàng ký hợp đồng mua bán điện cho hoạt động bảo quản nông sản sau thu hoạch thì áp dụng giá bán điện như thế nào?","Giá bán lẻ điện cho sản xuất","Giá bán lẻ điện cho kinh doanh","Giá bán lẻ điện cho khối hành chính,sự nghiệp","Giá bán lẻ điện cho tỷ lệ","A"
"Trường hợp khách hàng giao kết hợp đồng sử dụng điện cho mục đích sinh hoạt sau một công tơ nhưng có sử dụng một phần cho mục đích trạm sạc xe điện thì áp dụng giá bán lẻ điện như thế nào?","Áp dụng giá bán lẻ điện sinh hoạt cho toàn bộ sản lượng điện năng đo đếm được tại công tơ đó","100% Giá kinh doanh","100% Giá sản xuất","Căn cứ theo tình hình sử dụng điện thực tế để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","A"
"Trường hợp khách hàng giao kết hợp đồng sử dụng điện ngoài mục đích sinh hoạt sau một công tơ nhưng có sử dụng một phần cho mục đích trạm sạc xe điện thì áp dụng giá bán lẻ điện như thế nào?","Áp dụng giá bán lẻ điện theo từng mục đích sử dụng điện nếu có công tơ đo đếm điện riêng, trường hợp do kết cấu lưới điện không lắp đặt được công tơ đo đếm điện riêng thì hai bên mua, bán điện căn cứ theo tình hình sử dụng điện thực tế để thỏa thuận tỷ lệ điện năng sử dụng cho mỗi loại mục đích","100% Giá kinh doanh","100% Giá sản xuất","100% Giá sinh hoạt bậc thang","A"
"Trường hợp nhà, đất do chủ thể giao kết hợp đồng mua bán điện cho thuê sử dụng điện ngoài mục đích sinh hoạt thì áp dụng giá bán lẻ điện như thế nào?","100% Giá kinh doanh","100% Giá sản xuất","Áp tỷ lệ cho mục đích sản xuất và kinh doanh","Áp tỷ lệ cho mục đích Hành chính sự nghiệp và kinh doanh","A"
"Trường hợp cho sinh viên và người lao động thuê nhà (bên thuê nhà không phải là một hộ gia đình) có thời hạn cho thuê nhà dưới 12 tháng và chủ nhà không thực hiện kê khai được đầy đủ số người sử dụng điện thì áp dụng giá bán điện như thế nào?","Áp dụng giá bán lẻ điện sinh hoạt của bậc 2: Từ 101 - 200 kWh cho toàn bộ sản lượng điện đo đếm được tại công tơ","Cứ 04 (bốn) người được tính là một hộ sử dụng điện để áp dụng giá bán lẻ điện sinh hoạt.","100% giá sinh hoạt bậc thang 01 hộ","100% giá kinh doanh","A"
"Việc xác định mục đích sử dụng điện và thỏa thuận tỷ lệ mục đích sử dụng điện với khách hàng được thực hiện tại biên bản gì?","Biên bản thỏa thuận tỷ lệ mục đích sử dụng điện","Phụ lục thỏa thuận tỷ lệ mục đích sử dụng điện","Biên bản thỏa thuận tỷ lệ giá bán điện","Biên bản thỏa thuận tỷ lệ % mục đích sử dụng điện","B"
"Trường hợp bên bán điện cần thay đổi vị trí hệ thống đo đếm điện (thay đổi cấp điện áp bán điện, thay đổi vị trí đặt hệ thống đo đếm điện…) toàn bộ chi phí thay đổi hệ thống đo đếm do bên nào phải thanh toán?","Bên mua điện thanh toán","Bên mua điện có thể thỏa thuận để cùng phân chia chi phí","Bên bán điện thanh toán","Bên mua điện thanh toán phần chi phí dây và các phụ kiện đi kèm kể từ sau ATM bảo vệ công tơ về đến hộ sử dụng điện","C"
"Tại EVNHANOI các công tơ 1 pha điện tử sau khi đã được kiểm định có hạn sử dụng như thế nào?","24 tháng","48 tháng","72 tháng","60 tháng","C"
"Tại EVNHANOI các công tơ 3 pha điện tử sau khi đã được kiểm định có hạn sử dụng như thế nào?","12 tháng","24 tháng","36 tháng","48 tháng","C"
"Hằng năm các đơn vị phải thực hiện kiểm tra định kỳ đối với công tơ 1 pha với số lượng?","Kiểm tra 100% số lượng công tơ đang vận hành trên lưới","Kiểm tra xác suất tối thiểu 10% số lượng công tơ đang vận hành trên lưới","Kiểm tra xác suất tối thiểu 5% số lượng công tơ đang vận hành trên lưới","Kiểm tra xác suất tối thiểu 50% số lượng công tơ đang vận hành trên lưới","C"
"Hằng năm các đơn vị phải thực hiện kiểm tra định kỳ đối với công tơ 3 pha đo đếm trực tiếp với số lượng?","Kiểm tra xác suất tối thiểu 5% số lượng công tơ đang vận hành trên lưới","Kiểm tra xác suất tối thiểu 10% số lượng công tơ đang vận hành trên lưới","Kiểm tra xác suất tối thiểu 50% số lượng công tơ đang vận hành trên lưới","Kiểm tra 100% số lượng công tơ đang vận hành trên lưới","C"
"Trong trường hợp khách hàng chưa đồng ý với kết quả kiểm tra, kiểm định thiết bị đo đếm điện năng của bên bán điện thì đơn vị Điện lực thực hiện?","Hướng dẫn khách hàng liên hệ với chính quyền địa phương để giải quyết.","Hướng dẫn khách hàng liên hệ với Chi cục tiêu chuẩn đo lường địa phương","Hướng dẫn khách hàng liên hệ với Sở Công Thương để tổ chức kiểm định độc lập","Hướng dẫn khách hàng liên hệ với Phòng Công Thương huyện để giải quyết","C"
"Trong trường hợp tổ chức kiểm định độc lập (do bên mua điện yêu cầu kiểm định độc lập) xác định thiết bị đo đếm điện hoạt động theo đúng Tiêu chuẩn Việt Nam, khi đó chi phí kiểm định do bên nào phải chi trả?","Bên bán điện phải trả chi phí kiểm định.","Bên bán điện có thể thay thiết bị đo đếm khi bên mua yêu cầu.","Bên mua điện phải trả chi phí kiểm định.","Hai bên có thể thoả thuận với nhau vể chi phí kiểm định","C"
"Khi thay định kỳ công tơ bên bán điện phải thông báo cho bên mua điện thời điểm thay công tơ để khách hàng biết và giám sát việc thay thế?","Trước 03 ngày","Trước 15 ngày","Trước 05 ngày","Trước 07 ngày","C"
"Theo quy định của Bộ Công thương: Đối với công tơ đo đếm 03 pha, đo đếm điện năng tác dụng ở lưới điện hạ thế phải đạt cấp chính xác như thế nào?","Cấp chính xác 0,2","Cấp chính xác 0,5","Cấp chính xác 2,0","Cấp chính xác 1,0","D"
"Theo quy định của Bộ Công thương: Đối với công tơ đo đếm điện tử 1 pha, đo đếm điện năng tác dụng ở lưới điện hạ thế phải đạt cấp chính xác như thế nào?","Cấp chính xác 1,0","Cấp chính xác 0,5","Cấp chính xác 2,0","Cấp chính xác 0,2","A"
"Theo quy định của Bộ Công thương: trong trường hợp sử dụng máy biến dòng điện (CT) cho đo đếm điện năng hạ áp, CT phải đảm bảo cấp chính xác như thế nào?","Cấp chính xác 1,0","Cấp chính xác 0,5","Cấp chính xác 2,0","Cấp chính xác 0,2","B"
"Vị trí lắp đặt công tơ mua bán điện được quy định như thế nào?","Công tơ được lắp đặt trong khu vực quản lý của bên bán điện","Công tơ được lắp đặt trong khu vực quản lý của bên mua điện","Công tơ được lắp đặt trong hoặc ngoài địa điểm sử dụng điện (tường nhà/tường rào, cột điện/tủ kỹ thuật gần địa điểm sử dụng điện của khách hàng nhất) do hai bên thỏa thuận để thuận lợi cho việc kiểm tra và GCS công tơ","Công tơ được lắp đặt trên tường ngoài nhà của bên mua điện","C"
"Dấu niêm phong được thay thế định kỳ như thế nào?","1 tháng 1 lần","06 tháng 1 lần","1 năm 1 lần","3 năm 1 lần","C"
"Khi phát hiện hoặc nghị ngờ có sự bất thường hệ thống đo đếm điện năng (HTĐĐĐN) như: mất niêm phong công tơ, VT, CT bị hỏng, cháy… Đơn vị và bộ phận quản lý HT ĐĐĐN, tổ chức kiểm tra và xử lý khắc phục trong thời gian?","Trong thời gian 12h","Trong thời gian 24h","Trong thời gian 48h","Trong thời gian 72h","B"
"Công tơ 3 pha tháo về các đơn vị cần hoàn tất thủ tục và kiểm tra nhập kho sửa chữa trong vòng bao nhiều ngày, kể từ ngày tháo công tơ?","30 ngày","10 ngày","07 ngày","15 ngày","C"
"Theo quy định của Bộ Công thương: trong trường hợp sử dụng máy biến điện áp (VT) cho đo đếm điện năng lưới điện trung áp, VT phải đảm bảo cấp chính xác như thế nào?","Cấp chính xác 1,0","Cấp chính xác 2,0","Cấp chính xác 0,5","Cấp chính xác 0,2","C"
"Sau khi có kết quả kiểm định thiết bị đo đếm bị hư hỏng, bộ phận quản lý hệ thống đo đếm điện năng phải chuyển kết luận đến khách hàng và đơn vị quản lý khách hàng để giải quyết việc thanh toán tiền điện và bồi thường thiệt hại nếu do lỗi của khách hàng chậm nhất sau thời gian bao lâu?","06 giờ","12 giờ","24 giờ","48 giờ","C"
"Trong thời hạn bao lâu kể từ khi hoàn thành việc lắp đặt HTĐĐĐN, phải hoàn thành việc cập nhật các thông tin của biên bản treo tháo TB ĐĐĐN vào hệ thống CMIS?","01 ngày làm việc","04 ngày làm việc","02 ngày làm viêc","03 ngày làm việc","C"
"Trong thời gian bao lâu sau khi nhận được yêu cầu của cơ quan nhà nước có thầm quyền hoặc yêu cầu của khách hàng, đơn vị phải tổ chức kiểm tra, sửa chữa hoặc thay thế xong, hoặc đặt lịch thống nhất cùng khách hàng đưa thiết bị đo đếm điện năng đi kiểm định?","12 giờ","24 giờ","36 giờ","48 giờ","B"
"Sử dụng Công tơ điện tử xoay chiều giúp cho?","Khách hàng sử dụng tiết kiệm hơn","Ngành điện bán được nhiều điện hơn","Việc mua - bán điện năng giữa ngành điện và khách hàng chính xác và minh bạch hơn","Chi phí đầu tư rẻ hơn","C"
"Đồng hồ Vôn mét dùng để?","Đo dòng điện","Đo điện áp","Đo công suất","Đo tần số","B"
"Đồng hồ Ampe mét dùng để?","Đo dòng điện","Đo điện áp","Đo công suất","Đo tần số","A"
"Đồng hồ Woat mét dùng để?","Đo dòng điện","Đo điện áp","Đo công suất","Đo tần số","C"
"Thiết bị đo đếm điện năng đưa vào sử dụng trên lưới điện để làm căn cứ thanh toán tiền điện cần đảm bảo?","Được phê duyệt mẫu phương tiện đo, Được kiểm định.","Được phê duyệt mẫu phương tiện đo, Hạn kiểm định còn hiệu lưc.","Được phê duyệt mẫu phương tiện đo, Hạn kiểm định còn hiệu lưc và tem kiểm định, chì kiểm định, thiết bị còn nguyên vẹn.","Được phê duyệt mẫu phương tiện đo, Đã được kiểm định và tem kiểm định, chì kiểm định, thiết bị còn nguyên vẹn.","C"
"Công tơ điện tử 3 pha 3 phần tử góc φ là góc lệch pha giữa?","Dòng điện pha và điện áp dây","Dòng điện pha và điện áp pha","Dòng điện dây và điện áp dây trên cùng một pha","Dòng điện và điện áp trên cùng một pha","D"
"Công tơ điện chỉ được phép treo trên lưới điện do EVN HANOI quản lý khi?","Có đầy đủ tem quản lý và chì kiểm định","Có đầy đủ tem quản lý và tem kiểm định","Có đầy đủ tem quản lý và chì kiểm định, tem kiểm định còn thời hạn kiểm định.","Có đầy đủ tem quản lý, chì kiểm định (hoặc tem kiểm định) và còn thời hạn kiểm định","D"
"Nhân viên treo, tháo công tơ không cần thực hiện?","⁭ Kiểm tra sự nguyên vẹn của các thiết bị đo đếm, các dấu niêm phong.","⁭ Kiểm tra sự hoạt động của hệ thống đo đếm trước khi tháo và sau khi treo công tơ;","Trả lời mọi thắc mắc, kiến nghị của khách hàng","⁭ Ghi đầy đủ các thông số của hệ thống đo đếm vào phiếu treo tháo công tơ;","C"
